flight_number,departure/arrival_airport,departure/arrival_airport,flight_status,city_name,airport_code,departure/arrival_time_local,terminal,aircraft_model,airline_name,type,scheduled_datetime_flight,actual_datetime_flight
XY 17,,RUH,Unknown,Jeddah,JED,2024-08-24 09:50+03:00,5,Airbus A320 NEO,flynas,Departure,,
FZ 848,Riyadh King Khaled,RUH,Departed,Dubai,DXB,2024-08-24 09:50+03:00,2,Boeing 737-900,flydubai,Departure,2024-08-24 09:50+03:00,
XY 251,,RUH,Unknown,Amman,AMM,2024-08-24 09:55+03:00,3,Airbus A320 NEO,flynas,Departure,,
SV 1511,,RUH,Unknown,Turayf,TUI,2024-08-24 10:00+03:00,5,Airbus A321,Saudi Arabian,Departure,,
F3 115,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-24 10:00+03:00,5,Airbus A320,flyadeal,Departure,2024-08-24 10:00+03:00,
SV 1027,,RUH,Unknown,Jeddah,JED,2024-08-24 10:00+03:00,5,Airbus A320,Saudi Arabian,Departure,,
SV 1901,Riyadh King Khaled,RUH,Unknown,Taif,TIF,2024-08-24 10:05+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-24 10:05+03:00,
EY 358,,RUH,Unknown,Abu Dhabi Island and Internal Islands City,AUH,2024-08-24 10:05+03:00,3,Airbus A320,Etihad Airways,Departure,,
XY 139,Riyadh King Khaled,RUH,Unknown,Al-Bakha,ABT,2024-08-24 10:05+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-24 10:05+03:00,
SV 1669,,RUH,Unknown,Abha,AHB,2024-08-24 10:10+03:00,5,Airbus A330,Saudi Arabian,Departure,,
XY 70,,RUH,Unknown,Ad Dammam,DMM,2024-08-24 10:10+03:00,5,Airbus A320 NEO,flynas,Departure,,
SV 760,Riyadh King Khaled,RUH,Unknown,New Delhi,DEL,2024-08-24 10:10+03:00,4,Boeing 777-300,Saudi Arabian,Departure,2024-08-24 10:10+03:00,
F3 225,,RUH,Departed,Medina,MED,2024-08-24 10:15+03:00,5,Airbus A320,flyadeal,Departure,,
NE 163,,RUH,Unknown,Cairo,CAI,2024-08-24 10:15+03:00,2,Boeing 737,Nesma,Departure,,
SV 1603,Riyadh King Khaled,RUH,Unknown,Neom Bay Airport,N/A,2024-08-24 10:25+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-24 10:25+03:00,
SV 263,,RUH,Departed,Istanbul,IST,2024-08-24 10:30+03:00,4,Airbus A330,Saudi Arabian,Departure,,
SV 572,Riyadh King Khaled,RUH,Unknown,Abu Dhabi Island and Internal Islands City,AUH,2024-08-24 10:45+03:00,4,Airbus A320,Saudi Arabian,Departure,2024-08-24 10:45+03:00,
SV 1237,,RUH,Unknown,Arar,RAE,2024-08-24 10:50+03:00,5,Airbus A320,Saudi Arabian,Departure,,
AT 255,,RUH,Unknown,Jeddah,JED,2024-08-24 10:55+03:00,2,Airbus A340-300,Royal Air Maroc,Departure,,
SV 1029,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-24 11:00+03:00,5,Airbus A330,Saudi Arabian,Departure,2024-08-24 11:00+03:00,
SV 1140,,RUH,Unknown,Ad Dammam,DMM,2024-08-24 11:00+03:00,5,Airbus A321,Saudi Arabian,Departure,,
SV 1865,Riyadh King Khaled,RUH,Unknown,Neyran,EAM,2024-08-24 11:05+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-24 11:05+03:00,
SV 1525,,RUH,Unknown,Tabuk,TUU,2024-08-24 11:10+03:00,5,Airbus A320,Saudi Arabian,Departure,,
SV 774,Riyadh King Khaled,RUH,Unknown,Kochi,COK,2024-08-24 11:10+03:00,4,Airbus A330-300,Saudi Arabian,Departure,2024-08-24 11:10+03:00,
XY 285,,RUH,Unknown,Cairo,N/A,2024-08-24 11:15+03:00,3,Airbus A320 NEO,flynas,Departure,,
XY 135,,RUH,Unknown,Neyran,EAM,2024-08-24 11:20+03:00,5,Airbus A320 NEO,flynas,Departure,,
AI 1922,Riyadh King Khaled,RUH,Unknown,Mumbai,BOM,2024-08-24 11:25+03:00,2,Airbus A321 (Sharklets),Air India,Departure,2024-08-24 11:25+03:00,
F3 525,,RUH,Departed,Jebel Ali,DWC,2024-08-24 11:25+03:00,3,Airbus A320,flyadeal,Departure,,
F3 119,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-24 11:25+03:00,5,Airbus A320,flyadeal,Departure,2024-08-24 11:25+03:00,
XY 35,,RUH,Unknown,Jeddah,JED,2024-08-24 11:30+03:00,5,Airbus A320 NEO,flynas,Departure,,
SV 1333,Riyadh King Khaled,RUH,Unknown,Khail,HAS,2024-08-24 11:30+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-24 11:30+03:00,
SV 558,,RUH,Unknown,Dubai,DXB,2024-08-24 11:35+03:00,4,Boeing 777,Saudi Arabian,Departure,,
F3 541,,RUH,Unknown,Amman,AMM,2024-08-24 11:40+03:00,3,Airbus A320,flyadeal,Departure,,
QR 1171,Riyadh King Khaled,RUH,Departed,Doha,DOH,2024-08-24 11:45+03:00,3,Airbus A330-300,Qatar Airways,Departure,2024-08-24 11:45+03:00,
F3 17,,RUH,Unknown,Abha,AHB,2024-08-24 11:45+03:00,5,Airbus A320,flyadeal,Departure,,
ME 425,Riyadh King Khaled,RUH,Unknown,Beirut,BEY,2024-08-24 11:50+03:00,3,Airbus A321 NEO,Middle East,Departure,2024-08-24 11:50+03:00,
SV 417,Riyadh King Khaled,RUH,Unknown,Cairo,CAI,2024-08-24 11:50+03:00,4,Airbus A330,Saudi Arabian,Departure,2024-08-24 11:50+03:00,
SV 1031,,RUH,Unknown,Jeddah,JED,2024-08-24 12:00+03:00,5,Boeing 777-300,Saudi Arabian,Departure,,
