flight_number,departure/arrival_airport,departure/arrival_airport,flight_status,city_name,airport_code,departure/arrival_time_local,terminal,aircraft_model,airline_name,type,scheduled_datetime_flight,actual_datetime_flight
XY 391,,RUH,Departed,Antalya,AYT,2024-08-16 08:15+03:00,3,Airbus A320 NEO,flynas,Departure,,
F3 585,Riyadh King Khaled,RUH,Unknown,Baku,GYD,2024-08-16 08:25+03:00,3,Airbus A320,flyadeal,Departure,2024-08-16 08:25+03:00,
FT 382,Riyadh King Khaled,RUH,Unknown,Cairo,CAI,2024-08-16 08:30+03:00,N/A,Boeing 737-800,FlyEgypt,Departure,2024-08-16 08:30+03:00,
XY 257,Riyadh King Khaled,RUH,Unknown,Istanbul,SAW,2024-08-16 08:35+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-16 08:35+03:00,
F3 111,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-16 08:35+03:00,5,Airbus A320,flyadeal,Departure,2024-08-16 08:35+03:00,
F3 33,Riyadh King Khaled,RUH,Unknown,Jazan,GIZ,2024-08-16 08:40+03:00,5,Airbus A320,flyadeal,Departure,2024-08-16 08:40+03:00,
XY 13,,RUH,Unknown,Jeddah,JED,2024-08-16 08:40+03:00,5,Airbus A320 NEO,flynas,Departure,,
XY 219,Riyadh King Khaled,RUH,Unknown,Dubai,DXB,2024-08-16 08:45+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-16 08:45+03:00,
SV 37,,RUH,Unknown,Washington,IAD,2024-08-16 08:50+03:00,4,Boeing 777-300,Saudi Arabian,Departure,,
F3 505,,RUH,Unknown,Dubai,DXB,2024-08-16 08:50+03:00,3,Airbus A320,flyadeal,Departure,,
SV 225,Riyadh King Khaled,RUH,Departed,Málaga,AGP,2024-08-16 08:55+03:00,4,Boeing 787-9,Saudi Arabian,Departure,2024-08-16 08:55+03:00,
SV 1737,,RUH,Unknown,Bisha,BHH,2024-08-16 08:55+03:00,5,Airbus A320,Saudi Arabian,Departure,,
NP 152,Riyadh King Khaled,RUH,Unknown,Cairo,CAI,2024-08-16 09:00+03:00,2,Airbus A320,Nile Air,Departure,2024-08-16 09:00+03:00,
SV 1025,,RUH,Unknown,Jeddah,JED,2024-08-16 09:00+03:00,5,Boeing 777-300,Saudi Arabian,Departure,,
SV 1138,Riyadh King Khaled,RUH,Unknown,Ad Dammam,DMM,2024-08-16 09:00+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-16 09:00+03:00,
SV 1533,,RUH,Unknown,Tabuk,TUU,2024-08-16 09:00+03:00,5,Airbus A320,Saudi Arabian,Departure,,
SV 239,Riyadh King Khaled,RUH,Departed,Geneva,GVA,2024-08-16 09:00+03:00,4,Airbus A330,Saudi Arabian,Departure,2024-08-16 09:00+03:00,
SV 596,,RUH,Unknown,Dubai,DXB,2024-08-16 09:00+03:00,4,Airbus A330,Saudi Arabian,Departure,,
SV 179,Riyadh King Khaled,RUH,Departed,Frankfurt-am-Main,FRA,2024-08-16 09:05+03:00,4,Airbus A320,Saudi Arabian,Departure,2024-08-16 09:05+03:00,
SV 1805,,RUH,Unknown,Jazan,GIZ,2024-08-16 09:05+03:00,5,Airbus A320,Saudi Arabian,Departure,,
SV 213,,RUH,Unknown,Milan,MXP,2024-08-16 09:05+03:00,4,Airbus A330,Saudi Arabian,Departure,,
G9 152,Riyadh King Khaled,RUH,Unknown,Sharjah,SHJ,2024-08-16 09:10+03:00,1,Airbus A320,Air Arabia,Departure,2024-08-16 09:10+03:00,
XY 273,,RUH,Unknown,Cairo,CAI,2024-08-16 09:10+03:00,3,Airbus A320 NEO,flynas,Departure,,
SV 121,Riyadh King Khaled,RUH,Departed,London,LHR,2024-08-16 09:15+03:00,4,Boeing 777-300,Saudi Arabian,Departure,2024-08-16 09:15+03:00,
SV 1273,,RUH,Unknown,Burayda,ELQ,2024-08-16 09:15+03:00,5,Airbus A320,Saudi Arabian,Departure,,
Q4 7517,Riyadh King Khaled,RUH,Unknown,Port Sudan,PZU,2024-08-16 09:20+03:00,N/A,Boeing 737-300,Euroairlines,Departure,2024-08-16 09:20+03:00,
3T 217,Riyadh King Khaled,RUH,Unknown,Port Sudan,PZU,2024-08-16 09:20+03:00,2,Boeing 737,Tarco Aviation,Departure,2024-08-16 09:20+03:00,
SV 235,Riyadh King Khaled,RUH,Departed,Zurich,ZRH,2024-08-16 09:25+03:00,4,Airbus A320,Saudi Arabian,Departure,2024-08-16 09:25+03:00,
SV 195,Riyadh King Khaled,RUH,Departed,Athens,ATH,2024-08-16 09:25+03:00,4,Airbus A320,Saudi Arabian,Departure,2024-08-16 09:25+03:00,
F3 605,Riyadh King Khaled,RUH,Unknown,Cairo,CAI,2024-08-16 09:30+03:00,3,Airbus A320,flyadeal,Departure,2024-08-16 09:30+03:00,
F3 579,,RUH,Unknown,Trabzon,TZX,2024-08-16 09:35+03:00,3,Airbus A320,flyadeal,Departure,,
SV 129,Riyadh King Khaled,RUH,Departed,Nice,NCE,2024-08-16 09:40+03:00,4,Airbus A330,Saudi Arabian,Departure,2024-08-16 09:40+03:00,
EK 820,,RUH,Unknown,Dubai,DXB,2024-08-16 09:40+03:00,2,Boeing 777-300ER,Emirates,Departure,,
F3 15,,RUH,Unknown,Abha,AHB,2024-08-16 09:45+03:00,5,Airbus A320,flyadeal,Departure,,
XY 17,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-16 09:50+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-16 09:50+03:00,
FZ 848,,RUH,Unknown,Dubai,DXB,2024-08-16 09:50+03:00,2,Boeing 737,flydubai,Departure,,
SV 207,Riyadh King Khaled,RUH,Unknown,Rome,FCO,2024-08-16 09:55+03:00,4,Airbus A320,Saudi Arabian,Departure,2024-08-16 09:55+03:00,
SV 231,,RUH,Departed,Barcelona,BCN,2024-08-16 09:55+03:00,4,Boeing 787,Saudi Arabian,Departure,,
XY 251,Riyadh King Khaled,RUH,Unknown,Amman,AMM,2024-08-16 09:55+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-16 09:55+03:00,
SV 1511,,RUH,Unknown,Turayf,TUI,2024-08-16 10:00+03:00,5,Airbus A321,Saudi Arabian,Departure,,
F3 115,,RUH,Unknown,Jeddah,JED,2024-08-16 10:00+03:00,5,Airbus A320,flyadeal,Departure,,
SV 1027,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-16 10:00+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-16 10:00+03:00,
EY 358,,RUH,Unknown,Abu Dhabi Island and Internal Islands City,AUH,2024-08-16 10:05+03:00,3,Airbus A321,Etihad Airways,Departure,,
SV 1901,Riyadh King Khaled,RUH,Unknown,Taif,TIF,2024-08-16 10:05+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-16 10:05+03:00,
XY 139,,RUH,Unknown,Al-Bakha,ABT,2024-08-16 10:05+03:00,5,Airbus A320 NEO,flynas,Departure,,
SV 1669,,RUH,Unknown,Abha,AHB,2024-08-16 10:10+03:00,5,Airbus A330,Saudi Arabian,Departure,,
XY 159,Riyadh King Khaled,RUH,Unknown,Al Ula,ULH,2024-08-16 10:10+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-16 10:10+03:00,
F3 225,,RUH,Departed,Medina,MED,2024-08-16 10:15+03:00,5,Airbus A320,flyadeal,Departure,,
SV 263,Riyadh King Khaled,RUH,Departed,Istanbul,IST,2024-08-16 10:30+03:00,4,Airbus A330,Saudi Arabian,Departure,2024-08-16 10:30+03:00,
SV 153,,RUH,Departed,Vienna,VIE,2024-08-16 10:40+03:00,4,Airbus A320,Saudi Arabian,Departure,,
SV 572,Riyadh King Khaled,RUH,Unknown,Abu Dhabi Island and Internal Islands City,AUH,2024-08-16 10:45+03:00,4,Airbus A321,Saudi Arabian,Departure,2024-08-16 10:45+03:00,
RJ 737,,RUH,Unknown,Amman,AMM,2024-08-16 10:55+03:00,2,Embraer 195,Royal Jordanian,Departure,,
SV 1140,,RUH,Unknown,Ad Dammam,DMM,2024-08-16 11:00+03:00,5,Airbus A321,Saudi Arabian,Departure,,
SV 1029,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-16 11:00+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-16 11:00+03:00,
SV 1865,,RUH,Unknown,Neyran,EAM,2024-08-16 11:05+03:00,5,Airbus A321,Saudi Arabian,Departure,,
SV 774,Riyadh King Khaled,RUH,Unknown,Kochi,COK,2024-08-16 11:10+03:00,4,Airbus A330-300,Saudi Arabian,Departure,2024-08-16 11:10+03:00,
SV 1525,,RUH,Unknown,Tabuk,TUU,2024-08-16 11:10+03:00,5,Airbus A320,Saudi Arabian,Departure,,
XY 285,Riyadh King Khaled,RUH,Unknown,Cairo,N/A,2024-08-16 11:15+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-16 11:15+03:00,
XY 135,,RUH,Unknown,Neyran,EAM,2024-08-16 11:20+03:00,5,Airbus A320 NEO,flynas,Departure,,
F3 119,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-16 11:25+03:00,5,Airbus A320,flyadeal,Departure,2024-08-16 11:25+03:00,
XY 35,,RUH,Unknown,Jeddah,JED,2024-08-16 11:30+03:00,5,Airbus A320 NEO,flynas,Departure,,
SV 558,Riyadh King Khaled,RUH,Unknown,Dubai,DXB,2024-08-16 11:30+03:00,4,Airbus A320,Saudi Arabian,Departure,2024-08-16 11:30+03:00,
SV 1333,Riyadh King Khaled,RUH,Unknown,Khail,HAS,2024-08-16 11:30+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-16 11:30+03:00,
PK 754,,RUH,Unknown,Islamabad,ISB,2024-08-16 11:30+03:00,2,Boeing 777-300,Pakistan International,Departure,,
IX 722,Riyadh King Khaled,RUH,Unknown,Kannur International Airport,N/A,2024-08-16 11:40+03:00,2,Boeing 737,Air India Express,Departure,2024-08-16 11:40+03:00,
F3 541,Riyadh King Khaled,RUH,Unknown,Amman,AMM,2024-08-16 11:40+03:00,3,Airbus A320,flyadeal,Departure,2024-08-16 11:40+03:00,
QR 1171,Riyadh King Khaled,RUH,Unknown,Doha,DOH,2024-08-16 11:45+03:00,3,Boeing 777-300ER,Qatar Airways,Departure,2024-08-16 11:45+03:00,
F3 17,,RUH,Unknown,Abha,AHB,2024-08-16 11:45+03:00,5,Airbus A320,flyadeal,Departure,,
SV 417,Riyadh King Khaled,RUH,Unknown,Cairo,CAI,2024-08-16 11:50+03:00,4,Airbus A330,Saudi Arabian,Departure,2024-08-16 11:50+03:00,
ME 425,,RUH,Unknown,Beirut,BEY,2024-08-16 11:50+03:00,3,Airbus A320,Middle East,Departure,,
XY 267,Riyadh King Khaled,RUH,Unknown,Cairo,CAI,2024-08-16 12:00+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-16 12:00+03:00,
F3 607,,RUH,Unknown,Cairo,CAI,2024-08-16 12:00+03:00,3,Airbus A320,flyadeal,Departure,,
XY 267,Riyadh King Khaled,RUH,Unknown,Cairo,CAI,2024-08-16 12:00+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-16 12:00+03:00,
F3 607,,RUH,Unknown,Cairo,CAI,2024-08-16 12:00+03:00,3,Airbus A320,flyadeal,Departure,,
SV 1031,,RUH,Unknown,Jeddah,JED,2024-08-16 12:00+03:00,5,Boeing 777-300,Saudi Arabian,Departure,,
SV 1031,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-16 12:00+03:00,5,Boeing 777-300,Saudi Arabian,Departure,2024-08-16 12:00+03:00,
SV 633,,RUH,Unknown,Amman,AMM,2024-08-16 12:05+03:00,4,Airbus A321,Saudi Arabian,Departure,,
F3 75,Riyadh King Khaled,RUH,Unknown,Neyran,EAM,2024-08-16 12:05+03:00,5,Airbus A320,flyadeal,Departure,2024-08-16 12:05+03:00,
GF 164,,RUH,Unknown,Manama,BAH,2024-08-16 12:05+03:00,2,Boeing 787-9,Gulf Air,Departure,,
F3 53,,RUH,Unknown,Taif,TIF,2024-08-16 12:10+03:00,5,Airbus A320,flyadeal,Departure,,
TK 143,Riyadh King Khaled,RUH,Departed,Istanbul,IST,2024-08-16 12:15+03:00,3,Airbus A321,Turkish,Departure,2024-08-16 12:15+03:00,
XY 205,,RUH,Unknown,Dubai,DXB,2024-08-16 12:20+03:00,3,Airbus A320 NEO,flynas,Departure,,
KU 774,Riyadh King Khaled,RUH,Unknown,Kuwait City,KWI,2024-08-16 12:25+03:00,2,Airbus A320,Kuwait Airways,Departure,2024-08-16 12:25+03:00,
SV 540,Riyadh King Khaled,RUH,Unknown,Doha,DOH,2024-08-16 12:30+03:00,4,Airbus A320,Saudi Arabian,Departure,2024-08-16 12:30+03:00,
F3 25,,RUH,Unknown,Abha,AHB,2024-08-16 12:35+03:00,5,Airbus A320,flyadeal,Departure,,
SV 327,Riyadh King Khaled,RUH,Unknown,Sharm el Sheikh,SSH,2024-08-16 12:40+03:00,4,Airbus A321,Saudi Arabian,Departure,2024-08-16 12:40+03:00,
XY 89,,RUH,Unknown,Abha,AHB,2024-08-16 12:55+03:00,5,Airbus A320 NEO,flynas,Departure,,
SV 736,Riyadh King Khaled,RUH,Unknown,Lahore,LHE,2024-08-16 13:00+03:00,4,Boeing 777,Saudi Arabian,Departure,2024-08-16 13:00+03:00,
SV 1461,,RUH,Departed,Medina,MED,2024-08-16 13:00+03:00,5,Airbus A321,Saudi Arabian,Departure,,
SV 1172,Riyadh King Khaled,RUH,Unknown,Ad Dammam,DMM,2024-08-16 13:00+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-16 13:00+03:00,
SV 1033,,RUH,Unknown,Jeddah,JED,2024-08-16 13:00+03:00,5,Airbus A321,Saudi Arabian,Departure,,
MS 652,Riyadh King Khaled,RUH,Unknown,Cairo,CAI,2024-08-16 13:00+03:00,2,Airbus A330-300,EgyptAir,Departure,2024-08-16 13:00+03:00,
XY 19,,RUH,Unknown,Jeddah,JED,2024-08-16 13:10+03:00,5,Airbus A320 NEO,flynas,Departure,,
SV 1807,Riyadh King Khaled,RUH,Unknown,Jazan,GIZ,2024-08-16 13:15+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-16 13:15+03:00,
FZ 842,,RUH,Unknown,Dubai,DXB,2024-08-16 13:15+03:00,2,Boeing 737,flydubai,Departure,,
F3 591,Riyadh King Khaled,RUH,Unknown,Sarajevo,SJJ,2024-08-16 13:20+03:00,3,Airbus A320,flyadeal,Departure,2024-08-16 13:20+03:00,
J9 222,,RUH,Unknown,Kuwait City,KWI,2024-08-16 13:25+03:00,2,Airbus A320,Jazeera Airways,Departure,,
XY 221,Riyadh King Khaled,RUH,Unknown,Dubai,DXB,2024-08-16 13:25+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-16 13:25+03:00,
F3 121,,RUH,Unknown,Jeddah,JED,2024-08-16 13:30+03:00,5,Airbus A320,flyadeal,Departure,,
XY 231,Riyadh King Khaled,RUH,Unknown,Kuwait City,KWI,2024-08-16 13:35+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-16 13:35+03:00,
SV 1671,,RUH,Unknown,Abha,AHB,2024-08-16 13:40+03:00,5,Airbus A320,Saudi Arabian,Departure,,
SV 554,Riyadh King Khaled,RUH,Unknown,Dubai,DXB,2024-08-16 13:45+03:00,4,Airbus A321,Saudi Arabian,Departure,2024-08-16 13:45+03:00,
XY 217,,RUH,Unknown,Dubai,DXB,2024-08-16 13:50+03:00,3,Airbus A320 NEO,flynas,Departure,,
SV 1035,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-16 14:00+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-16 14:00+03:00,
F3 127,,RUH,Unknown,Jeddah,JED,2024-08-16 14:00+03:00,5,Airbus A320,flyadeal,Departure,,
SV 1527,Riyadh King Khaled,RUH,Unknown,Tabuk,TUU,2024-08-16 14:15+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-16 14:15+03:00,
SV 1389,,RUH,Unknown,Al-Jawf,AJF,2024-08-16 14:30+03:00,5,Airbus A320,Saudi Arabian,Departure,,
XY 85,Riyadh King Khaled,RUH,Unknown,Abha,AHB,2024-08-16 14:35+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-16 14:35+03:00,
SV 1915,,RUH,Unknown,Taif,TIF,2024-08-16 14:35+03:00,5,Airbus A320,Saudi Arabian,Departure,,
QR 1165,Riyadh King Khaled,RUH,Unknown,Doha,DOH,2024-08-16 14:40+03:00,3,Boeing 777-300ER,Qatar Airways,Departure,2024-08-16 14:40+03:00,
F3 125,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-16 14:50+03:00,5,Airbus A320,flyadeal,Departure,2024-08-16 14:50+03:00,
IX 996,,RUH,Unknown,Hyderabad,HYD,2024-08-16 14:55+03:00,2,Boeing 737,Air India Express,Departure,,
XY 305,,RUH,Unknown,Trabzon,TZX,2024-08-16 14:55+03:00,3,Airbus A320 NEO,flynas,Departure,,
SV 1037,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-16 15:00+03:00,5,Airbus A330,Saudi Arabian,Departure,2024-08-16 15:00+03:00,
SV 1150,,RUH,Unknown,Ad Dammam,DMM,2024-08-16 15:00+03:00,5,Airbus A321,Saudi Arabian,Departure,,
XY 21,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-16 15:05+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-16 15:05+03:00,
E5 338,,RUH,Unknown,Alexandria,HBE,2024-08-16 15:10+03:00,2,Airbus A320,Air Arabia Egypt,Departure,,
XY 353,Riyadh King Khaled,RUH,Unknown,Salalah,SLL,2024-08-16 15:15+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-16 15:15+03:00,
F3 19,,RUH,Unknown,Abha,AHB,2024-08-16 15:20+03:00,5,Airbus A320,flyadeal,Departure,,
F3 573,Riyadh King Khaled,RUH,Departed,Istanbul,IST,2024-08-16 15:25+03:00,3,Airbus A320,flyadeal,Departure,2024-08-16 15:25+03:00,
XY 211,,RUH,Unknown,Dubai,DXB,2024-08-16 15:35+03:00,3,Airbus A320 NEO,flynas,Departure,,
SV 1463,Riyadh King Khaled,RUH,Departed,Medina,MED,2024-08-16 15:35+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-16 15:35+03:00,
XY 223,,RUH,Unknown,Doha,DOH,2024-08-16 15:40+03:00,3,Airbus A320 NEO,flynas,Departure,,
XY 207,,RUH,Unknown,Dubai,DXB,2024-08-16 15:50+03:00,3,Airbus A320 NEO,flynas,Departure,,
XY 137,Riyadh King Khaled,RUH,Unknown,Neyran,EAM,2024-08-16 15:50+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-16 15:50+03:00,
SV 1787,,RUH,Unknown,Jazan,GIZ,2024-08-16 16:00+03:00,5,Airbus A320,Saudi Arabian,Departure,,
SV 1787,Riyadh King Khaled,RUH,Unknown,Jazan,GIZ,2024-08-16 16:00+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-16 16:00+03:00,
SV 560,,RUH,Unknown,Dubai,DXB,2024-08-16 16:00+03:00,4,Airbus A330,Saudi Arabian,Departure,,
SV 560,Riyadh King Khaled,RUH,Unknown,Dubai,DXB,2024-08-16 16:00+03:00,4,Airbus A330,Saudi Arabian,Departure,2024-08-16 16:00+03:00,
SV 1039,,RUH,Unknown,Jeddah,JED,2024-08-16 16:00+03:00,5,Airbus A320,Saudi Arabian,Departure,,
SV 1039,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-16 16:00+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-16 16:00+03:00,
GF 190,,RUH,Unknown,Manama,BAH,2024-08-16 16:00+03:00,2,Airbus A320,Gulf Air,Departure,,
GF 190,Riyadh King Khaled,RUH,Unknown,Manama,BAH,2024-08-16 16:00+03:00,2,Airbus A320,Gulf Air,Departure,2024-08-16 16:00+03:00,
XY 355,,RUH,Unknown,Tirana,TIA,2024-08-16 16:00+03:00,3,Airbus A320 NEO,flynas,Departure,,
XY 355,,RUH,Unknown,Tirana,TIA,2024-08-16 16:00+03:00,3,Airbus A320 NEO,flynas,Departure,,
SV 510,Riyadh King Khaled,RUH,Unknown,Kuwait City,KWI,2024-08-16 16:05+03:00,4,Airbus A321,Saudi Arabian,Departure,2024-08-16 16:05+03:00,
XY 33,,RUH,Unknown,Jeddah,JED,2024-08-16 16:05+03:00,5,Airbus A320 NEO,flynas,Departure,,
SV 1675,Riyadh King Khaled,RUH,Unknown,Abha,AHB,2024-08-16 16:10+03:00,5,Airbus A330,Saudi Arabian,Departure,2024-08-16 16:10+03:00,
MS 690,,RUH,Unknown,Cairo,CAI,2024-08-16 16:10+03:00,2,Boeing 737-800,EgyptAir,Departure,,
SV 1853,Riyadh King Khaled,RUH,Unknown,Neyran,EAM,2024-08-16 16:15+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-16 16:15+03:00,
XY 271,,RUH,Unknown,Cairo,CAI,2024-08-16 16:25+03:00,3,Airbus A320 NEO,flynas,Departure,,
WY 684,,RUH,Unknown,Muscat,MCT,2024-08-16 16:25+03:00,2,Boeing 737,Oman Air,Departure,,
F3 131,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-16 16:25+03:00,5,Airbus A320,flyadeal,Departure,2024-08-16 16:25+03:00,
SM 462,,RUH,Unknown,Cairo,CAI,2024-08-16 16:30+03:00,2,Airbus A320,Air Cairo,Departure,,
J9 226,Riyadh King Khaled,RUH,Unknown,Kuwait City,KWI,2024-08-16 16:30+03:00,2,Airbus A320,Jazeera Airways,Departure,2024-08-16 16:30+03:00,
EY 318,,RUH,Unknown,Abu Dhabi Island and Internal Islands City,AUH,2024-08-16 16:30+03:00,3,Airbus A320,Etihad Airways,Departure,,
SV 1927,Riyadh King Khaled,RUH,Unknown,Vadi-ed-Davasir,WAE,2024-08-16 16:35+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-16 16:35+03:00,
SV 313,,RUH,Unknown,Cairo,CAI,2024-08-16 16:40+03:00,4,Airbus A330,Saudi Arabian,Departure,,
F3 21,,RUH,Unknown,Abha,AHB,2024-08-16 16:40+03:00,5,Airbus A320,flyadeal,Departure,,
SV 804,Riyadh King Khaled,RUH,Unknown,Dhaka,DAC,2024-08-16 16:50+03:00,4,Boeing 777,Saudi Arabian,Departure,2024-08-16 16:50+03:00,
F3 509,,RUH,Unknown,Dubai,DXB,2024-08-16 16:55+03:00,3,Airbus A320,flyadeal,Departure,,
F3 229,Riyadh King Khaled,RUH,Departed,Medina,MED,2024-08-16 16:55+03:00,5,Airbus A320,flyadeal,Departure,2024-08-16 16:55+03:00,
SV 1041,,RUH,Unknown,Jeddah,JED,2024-08-16 17:00+03:00,5,Airbus A321,Saudi Arabian,Departure,,
SV 1154,Riyadh King Khaled,RUH,Unknown,Ad Dammam,DMM,2024-08-16 17:00+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-16 17:00+03:00,
XY 133,,RUH,Unknown,Khail,HAS,2024-08-16 17:00+03:00,5,Airbus A320 NEO,flynas,Departure,,
G9 155,Riyadh King Khaled,RUH,Unknown,Sharjah,SHJ,2024-08-16 17:00+03:00,1,Airbus A320,Air Arabia,Departure,2024-08-16 17:00+03:00,
XY 788,,RUH,Departed,Medina,MED,2024-08-16 17:30+03:00,5,Airbus A320 NEO,flynas,Departure,,
XY 359,Riyadh King Khaled,RUH,Unknown,Trabzon,TZX,2024-08-16 17:30+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-16 17:30+03:00,
SV 1703,,RUH,Unknown,Al-Bakha,ABT,2024-08-16 17:30+03:00,5,Airbus A321,Saudi Arabian,Departure,,
SV 1079,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-16 17:30+03:00,5,Boeing 777-300,Saudi Arabian,Departure,2024-08-16 17:30+03:00,
F3 511,,RUH,Unknown,Dubai,DXB,2024-08-16 17:30+03:00,3,Airbus A320,flyadeal,Departure,,
XY 37,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-16 17:40+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-16 17:40+03:00,
XY 74,,RUH,Unknown,Ad Dammam,DMM,2024-08-16 17:45+03:00,5,Airbus A320 NEO,flynas,Departure,,
F3 587,Riyadh King Khaled,RUH,Departed,Tbilisi,TBS,2024-08-16 17:50+03:00,3,Airbus A320,flyadeal,Departure,2024-08-16 17:50+03:00,
F3 23,,RUH,Unknown,Abha,AHB,2024-08-16 17:50+03:00,5,Airbus A320,flyadeal,Departure,,
SV 1393,,RUH,Unknown,Al-Jawf,AJF,2024-08-16 17:55+03:00,5,Airbus A320,Saudi Arabian,Departure,,
F3 137,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-16 17:55+03:00,5,Airbus A320,flyadeal,Departure,2024-08-16 17:55+03:00,
SV 1043,,RUH,Unknown,Jeddah,JED,2024-08-16 18:00+03:00,5,Airbus A321,Saudi Arabian,Departure,,
SV 552,Riyadh King Khaled,RUH,Unknown,Dubai,DXB,2024-08-16 18:00+03:00,4,Airbus A330,Saudi Arabian,Departure,2024-08-16 18:00+03:00,
XY 233,,RUH,Unknown,Manama,BAH,2024-08-16 18:00+03:00,3,Airbus A320 NEO,flynas,Departure,,
GF 168,Riyadh King Khaled,RUH,Unknown,Manama,BAH,2024-08-16 18:00+03:00,2,Boeing 787-9,Gulf Air,Departure,2024-08-16 18:00+03:00,
SV 1335,,RUH,Unknown,Khail,HAS,2024-08-16 18:10+03:00,5,Airbus A320,Saudi Arabian,Departure,,
F3 595,Riyadh King Khaled,RUH,Departed,Bodrum,BJV,2024-08-16 18:10+03:00,3,Airbus A320,flyadeal,Departure,2024-08-16 18:10+03:00,
XY 269,,RUH,Unknown,Cairo,CAI,2024-08-16 18:15+03:00,3,Airbus A320 NEO,flynas,Departure,,
SV 1583,,RUH,Unknown,Yanbu,YNB,2024-08-16 18:15+03:00,5,Airbus A320,Saudi Arabian,Departure,,
XY 91,Riyadh King Khaled,RUH,Unknown,Abha,AHB,2024-08-16 18:30+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-16 18:30+03:00,
NE 161,,RUH,Unknown,Cairo,CAI,2024-08-16 18:30+03:00,2,Boeing 737,Nesma,Departure,,
SV 333,Riyadh King Khaled,RUH,Unknown,Alexandria,HBE,2024-08-16 18:35+03:00,4,Airbus A321,Saudi Arabian,Departure,2024-08-16 18:35+03:00,
SV 1677,,RUH,Unknown,Abha,AHB,2024-08-16 18:35+03:00,5,Airbus A320,Saudi Arabian,Departure,,
F3 139,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-16 18:45+03:00,5,Airbus A320,flyadeal,Departure,2024-08-16 18:45+03:00,
XY 209,,RUH,Unknown,Dubai,DXB,2024-08-16 18:50+03:00,3,Airbus A320 NEO,flynas,Departure,,
F3 513,,RUH,Unknown,Dubai,DXB,2024-08-16 18:50+03:00,3,Airbus A320,flyadeal,Departure,,
SV 637,Riyadh King Khaled,RUH,Unknown,Amman,AMM,2024-08-16 18:50+03:00,4,Airbus A321,Saudi Arabian,Departure,2024-08-16 18:50+03:00,
SV 1529,,RUH,Unknown,Tabuk,TUU,2024-08-16 18:50+03:00,5,Airbus A320,Saudi Arabian,Departure,,
PR 655,Riyadh King Khaled,RUH,Departed,Manila,MNL,2024-08-16 18:50+03:00,2,Airbus A330-300,Philippine,Departure,2024-08-15 18:50+03:00,
XY 141,,RUH,Unknown,Al-Bakha,ABT,2024-08-16 18:55+03:00,5,Airbus A320 NEO,flynas,Departure,,
