flight_number,airport_code,departure_arrival_time_local,terminal,aircraft_model,airline_name,type,scheduled_datetime_flight,flight_status,gate_status,GateNumber
F3 21,AHB,2024-08-25T16:40:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-25T13:40:00.0000000+00:00,Unknown,Closed,108A
F3 179,DMM,2024-08-25T16:50:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-25T13:50:00.0000000+00:00,Unknown,Closed,104A
F3 509,DXB,2024-08-25T16:55:00.0000000+03:00,3,Airbus A320,flyadeal,Departure,2024-08-25T13:55:00.0000000+00:00,Departed,Closed,102A
SV 1041,JED,2024-08-25T17:00:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-25T14:00:00.0000000+00:00,Unknown,Closed,109A
SV 1154,DMM,2024-08-25T17:00:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-25T14:00:00.0000000+00:00,Unknown,Closed,103A
SV 1079,JED,2024-08-25T17:30:00.0000000+03:00,5,Airbus A330-300,Saudi Arabian,Departure,2024-08-25T14:30:00.0000000+00:00,Unknown,Closed,108A
XY 788,MED,2024-08-25T17:30:00.0000000+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-25T14:30:00.0000000+00:00,Departed,Closed,107A
XY 74,DMM,2024-08-25T17:45:00.0000000+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-25T14:45:00.0000000+00:00,Unknown,Closed,102A
SV 1393,AJF,2024-08-25T17:55:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-25T14:55:00.0000000+00:00,Unknown,Closed,106A
SV 552,DXB,2024-08-25T18:00:00.0000000+03:00,4,Airbus A330,Saudi Arabian,Departure,2024-08-25T15:00:00.0000000+00:00,Departed,Closed,101A
SV 1043,JED,2024-08-25T18:00:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-25T15:00:00.0000000+00:00,Unknown,Closed,107A
SV 1583,YNB,2024-08-25T18:15:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-25T15:15:00.0000000+00:00,Unknown,Closed,102A
SV 333,HBE,2024-08-25T18:35:00.0000000+03:00,4,Airbus A321,Saudi Arabian,Departure,2024-08-25T15:35:00.0000000+00:00,Unknown,Closed,105A
KU 776,KWI,2024-08-25T18:40:00.0000000+03:00,2,Airbus A320,Kuwait Airways,Departure,2024-08-25T15:40:00.0000000+00:00,Unknown,Closed,101A
F3 513,DXB,2024-08-25T18:50:00.0000000+03:00,3,Airbus A320,flyadeal,Departure,2024-08-25T15:50:00.0000000+00:00,Unknown,Closed,103A
PR 655,MNL,2024-08-25T18:50:00.0000000+03:00,2,Airbus A330-300,Philippine,Departure,2024-08-24T15:50:00.0000000+00:00,Departed,Closed,101A
XY 253,AMM,2024-08-25T19:00:00.0000000+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-25T16:00:00.0000000+00:00,Unknown,Closed,103A
SV 1160,DMM,2024-08-25T19:00:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-25T16:00:00.0000000+00:00,Unknown,Closed,108A
SV 1905,TIF,2024-08-25T19:15:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-25T16:15:00.0000000+00:00,Unknown,Closed,105A
XY 97,MED,2024-08-25T19:20:00.0000000+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-25T16:20:00.0000000+00:00,Departed,Closed,105A
SV 1785,GIZ,2024-08-25T19:20:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-25T16:20:00.0000000+00:00,Unknown,Closed,107A
