flight_number,airport_code,departure/arrival_time_local,terminal,aircraft_model,airline_name,type,scheduled_datetime_flight,flight_status,gate_status
XY 4,JED,2024-08-14 09:55+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 05:05:00+00:00,Unknown,Closed
XY 122,TUU,2024-08-14 10:10+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 05:15:00+00:00,Unknown,Closed
QR 1170,DOH,2024-08-14 10:15+03:00,3.0,Boeing 777-300ER,Qatar Airways,Arrival,2024-08-14 05:45:00+00:00,Unknown,Closed
SV 1885,SHW,2024-08-14 10:35+03:00,5.0,Airbus A320,Saudi Arabian,Arrival,2024-08-14 05:50:00+00:00,Unknown,Closed
F3 224,MED,2024-08-14 10:40+03:00,5.0,Airbus A320,flyadeal,Arrival,2024-08-14 06:10:00+00:00,Expected,Closed
F3 204,TUU,2024-08-14 10:45+03:00,5.0,Airbus A320,flyadeal,Arrival,2024-08-14 05:45:00+00:00,Unknown,Closed
SV 1458,MED,2024-08-14 10:50+03:00,5.0,Airbus A321,Saudi Arabian,Arrival,2024-08-14 06:15:00+00:00,Expected,Closed
GF 163,BAH,2024-08-14 10:55+03:00,2.0,Boeing 787-9,Gulf Air,Arrival,2024-08-14 06:40:00+00:00,Unknown,Closed
SV 1708,ABT,2024-08-14 11:05+03:00,5.0,Airbus A320,Saudi Arabian,Arrival,2024-08-14 06:25:00+00:00,Unknown,Closed
TK 142,IST,2024-08-14 11:15+03:00,3.0,Airbus A321,Turkish,Arrival,2024-08-14 04:05:00+00:00,Expected,Closed
XY 328,CCJ,2024-08-14 11:45+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 03:40:00+00:00,Unknown,Closed
XY 94,MED,2024-08-14 11:50+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 07:25:00+00:00,Expected,Closed
SV 725,ISB,2024-08-14 12:05+03:00,4.0,Boeing 777,Saudi Arabian,Arrival,2024-08-14 04:50:00+00:00,Unknown,Closed
SV 1141,DMM,2024-08-14 12:15+03:00,5.0,Airbus A321,Saudi Arabian,Arrival,2024-08-14 08:00:00+00:00,Unknown,Closed
FZ 841,DXB,2024-08-14 12:15+03:00,2.0,Boeing 737,flydubai,Arrival,2024-08-14 07:15:00+00:00,Unknown,Closed
QR 1172,DOH,2024-08-14 12:20+03:00,3.0,Airbus A330-300,Qatar Airways,Arrival,2024-08-14 07:50:00+00:00,Unknown,Closed
J9 221,KWI,2024-08-14 12:40+03:00,2.0,Airbus A320 NEO,Jazeera Airways,Arrival,2024-08-14 08:25:00+00:00,Unknown,Closed
SV 1028,JED,2024-08-14 12:50+03:00,5.0,Airbus A320,Saudi Arabian,Arrival,2024-08-14 08:00:00+00:00,Unknown,Closed
QR 1164,DOH,2024-08-14 13:10+03:00,3.0,Boeing 777-300ER,Qatar Airways,Arrival,2024-08-14 08:40:00+00:00,Unknown,Closed
